title,rank,release_year
Better Days,#1,2019
Miracle in Cell No. 7,#2,2013
Hope,#3,2013
How to Make Millions before Grandma Dies,#4,2024
Monster,#5,2023
Train to Busan,#6,2016
Drawing Closer,#7,2024
A Taxi Driver,#8,2017
Parasite,#9,2019
Lighting Up the Stars,#10,2022
Silenced,#11,2011
The Paradise of Thorns,#12,2024
The Man from Nowhere,#13,2010
Rurouni Kenshin: The Legend Ends,#14,2014
Sunny,#15,2011
Your Eyes Tell,#16,2020
Even if This Love Disappears from the World Tonight,#17,2022
Our Times,#18,2015
Midnight Runners,#19,2017
Ode to My Father,#20,2014
Be with You,#21,2018
Along with the Gods 2: The Last 49 Days,#22,2018
Rurouni Kenshin: Kyoto Inferno,#23,2014
My Annoying Brother,#24,2016
Seven Samurai,#25,1954
Big World,#26,2024
Rurouni Kenshin,#27,2012
Hachiko Monogatari,#28,1987
I Can Speak,#29,2017
Mumu,#30,2025
20th Century Girl,#31,2022
Officer Black Belt,#32,2024
The Witch: Part 1. The Subversion,#33,2018
Viva La Vida,#34,2024
Along with the Gods: The Two Worlds,#35,2017
Even if This Love Disappears Tonight,#36,2025
Love in the Big City,#37,2024
Rurouni Kenshin: The Final,#38,2021
A Moment to Remember,#39,2004
Bad Genius,#40,2017
Hijack 1971,#41,2024
Always,#42,2011
Semantic Error: The Movie,#43,2022
My First Client,#44,2019
Rurouni Kenshin: The Beginning,#45,2021
In the Mood for Love,#46,2000
The Shadow's Edge,#47,2025
Godzilla Minus One,#48,2023
10Dance,#49,2025
Miracle: Letters to the President,#50,2021
A Werewolf Boy,#51,2012
The Yin-Yang Master: Dream of Eternity,#52,2020
Innocent Witness,#53,2019
Ip Man,#54,2008
You're So Precious to Me,#55,2021
Forgotten,#56,2017
The Red Envelope,#57,2025
Tae Guk Gi: The Brotherhood of War,#58,2004
Emergency Declaration,#59,2022
71: Into the Fire,#60,2010
As Long as We Both Shall Live,#61,2023
Inseparable Bros,#62,2019
18×2  Beyond Youthful Days,#63,2024
Northern Limit Line,#64,2015
A Little Red Flower,#65,2020
Extreme Job,#66,2019
Hear Me: Our Summer,#67,2024
The Time of Fever,#68,2024
Perfect Days,#69,2023
Kokuho,#70,2025
As One,#71,2012
Canola,#72,2016
Ayla: The Daughter of War,#73,2017
The Childe,#74,2023
Under the Hawthorn Tree,#75,2010
Confessions,#76,2010
Wuliang,#77,2020
Departures,#78,2008
Our Secret Diary,#79,2023
Pawn,#80,2020
Us and Them,#81,2018
Memories of Murder,#82,2003
Exhuma,#83,2024
Rebound,#84,2023
Shark: The Beginning,#85,2021
Juror 8,#86,2019
Brave Citizen,#87,2023
Kung Fu Hustle,#88,2004
Love Untangled,#89,2025
Exit,#90,2019
The Flu,#91,2013
Man in Love,#92,2021
2037,#93,2022
Shoot My Heart,#94,2015
The Admiral: Roaring Currents,#95,2014
The Last 10 Years,#96,2022
Crazy Little Thing Called Love,#97,2010
High&Low the Movie 3: Final Mission,#98,2017
Nobody Knows,#99,2004
Chungking Express,#100,1994
Cry Me a Sad River,#101,2018
Infernal Affairs,#102,2002
Red Cliff 2,#103,2009
High&Low the Movie 2: End of Sky,#104,2017
Kim Ji Young: Born 1982,#105,2019
Ip Man 2: Legend of Grandmaster,#106,2010
Shoplifters,#107,2018
Liar Game: The Final Stage,#108,2010
Harakiri,#109,1962
Yesterday Once More,#110,2023
All These Years,#111,2023
Midnight,#112,2021
The Moon,#113,2023
"The Gangster, the Cop and the Devil",#114,2019
My Way,#115,2011
The First Ride,#116,2025
Let Free the Curse of Taekwondo,#117,2024
Soulmate,#118,2023
Flying Colors,#119,2015
High&Low: The Worst,#120,2019
To Each His Own,#121,2017
A Balloon's Landing,#122,2024
The 8-Year Engagement,#123,2017
One and Only,#124,2023
